,elapsed time
George Bush Intercontinental Airport,"131,6319504"
Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),"106,2002801"
Idaho Falls Regional Airport,"66,17375231"
Wilmington Airport,"140,7564103"
Wilmington International Airport,"90,09234234"
Ford Airport,"60,10344828"
Indianapolis International Airport,"126,4495399"
Falls International Airport,"59,39751553"
Sloulin Field International Airport,"117,324937"
Long Island MacArthur Airport,"129,0653433"
Ithaca Tompkins Regional Airport,"61,14285714"
Hilo International Airport,"60,57867694"
Jackson Hole Airport,"116,8311688"
Jackson-Evers International Airport,"87,01356286"
Jacksonville International Airport,"107,4417815"
John F. Kennedy International Airport (New York International Airport),"224,024378"
Joplin Regional Airport,"78,1827957"
Jamestown Regional Airport,"58,1938326"
Juneau International Airport,"81,88755459"
Kona International Airport at Keahole,"143,5676209"
Ketchikan International Airport,"78,7078853"
Capital Region International Airport ( Lansing Capital City),"70,69333333"
Laramie Regional Airport,"48,21176471"
McCarran International Airport,"141,7297011"
Lawton-Fort Sill Regional Airport,"43,64550265"
Los Angeles International Airport,"168,7630754"
Lubbock Preston Smith International Airport,"75,6440678"
Arnold Palmer Regional Airport,"142,9704918"
Lake Charles Regional Airport,"59,12765957"
Blue Grass Airport,"96,34632878"
Lafayette Regional Airport,"82,75182482"
LaGuardia Airport (Marine Air Terminal),"143,5427579"
Long Beach Airport (Daugherty Field),"117,6799475"
Lihue Airport,"124,9725255"
Bill and Hillary Clinton National Airport (Adams Field),"100,8709104"
Lincoln Airport (Lincoln Municipal),"97,64362519"
Laredo International Airport,"74,42926045"
La Crosse Regional Airport,"67,02771363"
Lewiston-Nez Perce County Airport,"82,63225806"
Midland International Airport,"78,57294118"
MBS International Airport,"64,80522088"
Kansas City International Airport,"118,0365"
Orlando International Airport,"150,5742662"
Harrisburg International Airport,"116,6117764"
Chicago Midway International Airport,"123,9316634"
Meridian Regional Airport,"58,14229249"
Memphis International Airport,"104,3560155"
McAllen-Miller International Airport (McAllen Miller International),"79,00176056"
Rogue Valley International Airport,"97,12383901"
Montgomery Regional Airport,"75,56221198"
Manhattan Regional Airport,"93,61946903"
Manchester-Boston Regional Airport,"127,2727852"
Miami International Airport,"168,4892983"
General Mitchell International Airport,"122,199267"
Muskegon County Airport,"53,75268817"
Melbourne International Airport,"92,48333333"
Quad City International Airport,"91,25020713"
Monroe Regional Airport,"75,75224647"
Mammoth Yosemite Airport,"66,94074074"
Mobile Regional Airport,"89,43243243"
Minot International Airport,"108,2703297"
Sawyer International Airport,"106,1625"
Monterey Regional Airport (Monterey Peninsula Airport),"67,58862876"
Dane County Regional Airport,"88,25048924"
Missoula International Airport,"105,5421687"
Minneapolis-Saint Paul International Airport,"136,4508638"
Louis Armstrong New Orleans International Airport,"120,0881679"
Montrose Regional Airport,"118,1979592"
Martha's Vineyard Airport,0
Myrtle Beach International Airport,"93,56439394"
Albert J. Ellis Airport,"90,83018868"
Oakland International Airport,"107,2420429"
Kahului Airport,"162,8895589"
Will Rogers World Airport,"103,2802118"
Eppley Airfield,"114,4113535"
Nome Airport,"79,03243243"
Ontario International Airport,"95,39245603"
Chicago O'Hare International Airport,"119,5876499"
Norfolk International Airport,"109,282925"
Worcester Regional Airport,"165,8251366"
Southwest Oregon Regional Airport (North Bend Municipal),"80,1509434"
Ralph Wien Memorial Airport,"67,61621622"
Barkley Regional Airport,"81,41935484"
Plattsburgh International Airport,"196,8494624"
Palm Beach International Airport,"146,9472438"
Portland International Airport,"152,7094224"
Newport News/Williamsburg International Airport,"109,5474453"
Philadelphia International Airport,"175,9650628"
Phoenix Sky Harbor International Airport,"145,3131232"
General Wayne A. Downing Peoria International Airport,"87,35986452"
Hattiesburg-Laurel Regional Airport,"59,925"
Pocatello Regional Airport,"51,28813559"
Pittsburgh International Airport,"128,3310041"
Pellston Regional Airport of Emmet County,"69,9691358"
Pensacola International Airport (Pensacola Gulf Coast Regional Airport),"94,47993664"
Pago Pago International Airport (Tafuna Airport),"327,8571429"
Tri-Cities Airport,"107,5989492"
Mercedita Airport,"205,755"
Petersburg James A. Johnson Airport,"31,74193548"
Palm Springs International Airport,"116,0099944"
Pueblo Memorial Airport,"49,53125"
Theodore Francis Green State Airport,"137,6122178"
Portland International Jetport,"103,2099644"
Rapid City Regional Airport,"103,2755102"
Redding Municipal Airport,"66,85140562"
Redmond Municipal Airport (Roberts Field),"106,1362764"
Raleigh-Durham International Airport,"110,8300372"
Rhinelander-Oneida County Airport,"55,45864662"
Richmond International Airport,"107,1498089"
Rock Springs-Sweetwater County Airport,"67,46530612"
